filename,width,height,class,xmin,ymin,xmax,ymax,damage_type
0.jpeg,224,224,front_damage,69,87,223,218,front_damage
000001.jpg,1000,750,tire_damage,1,2,1000,750,tire_damage
000002.jpg,1000,667,tire_damage,433,158,915,615,tire_damage
000003.jpg,1000,667,tire_damage,315,2,1000,565,tire_damage
000004.jpg,1000,667,tire_damage,98,2,921,662,tire_damage
000005.jpg,1000,667,tire_damage,177,1,851,602,tire_damage
000006.jpg,1000,667,tire_damage,15,1,967,667,tire_damage
000007.jpg,1000,667,tire_damage,302,12,659,572,tire_damage
000008.jpg,1000,678,tire_damage,345,34,715,642,tire_damage
000009.jpg,1000,667,tire_damage,574,225,948,605,tire_damage
000009.jpg,1000,667,door_scratch,261,241,536,434,door_scratch
000010.jpg,1000,667,tire_damage,139,62,557,623,tire_damage
000011.jpg,1000,667,tire_damage,300,11,831,641,tire_damage
000014.jpg,1000,667,tire_damage,393,330,721,605,tire_damage
000014.jpg,1000,667,front_damage,722,114,973,561,front_damage
000018.jpg,1000,667,bumper_scratch,207,251,826,479,bumper_scratch
000019.jpg,1000,645,bumper_scratch,280,119,775,587,bumper_scratch
000020.jpg,1000,665,bumper_scratch,464,1,1000,483,bumper_scratch
000021.jpg,1000,667,door_scratch,139,2,630,651,door_scratch
000022.jpg,1000,667,bumper_scratch,8,69,617,645,bumper_scratch
000026.jpg,1000,667,bumper_scratch,474,178,883,459,bumper_scratch
000027.jpg,1000,667,bumper_scratch,164,1,845,594,bumper_scratch
000028.jpg,662,1000,tail_lamp,191,297,542,773,tail_lamp
000029.jpg,1000,667,head_lamp,360,4,1000,667,head_lamp
000030.jpg,1000,823,door_scratch,244,140,958,689,door_scratch
000031.jpg,1000,667,door_scratch,1,66,1000,586,door_scratch
000032.jpg,1000,667,side_damage,278,259,477,505,side_damage
000036.jpg,1000,750,bumper_scratch,386,368,711,579,bumper_scratch
000037.jpg,1000,750,tire_damage,288,39,948,604,tire_damage
000039.jpg,1000,667,tail_lamp,98,136,522,438,tail_lamp
000041.jpg,1000,667,glass_shatter,13,3,834,588,glass_shatter
000043.jpg,1000,667,bumper_scratch,255,221,493,494,bumper_scratch
000045.jpg,1000,667,front_damage,1,26,619,641,front_damage
000046.jpg,1000,750,door_scratch,518,209,1000,729,door_scratch
000048.jpg,1000,750,glass_shatter,261,195,875,692,glass_shatter
000049.jpg,1000,667,front_damage,426,133,1000,574,front_damage
000050.jpg,1000,750,bumper_scratch,3,174,906,750,bumper_scratch
000051.jpg,1000,667,glass_shatter,305,55,975,612,glass_shatter
000052.jpg,1000,750,head_lamp,80,2,761,264,head_lamp
000052.jpg,1000,750,bumper_scratch,84,294,499,647,bumper_scratch
000052.jpg,1000,750,front_damage,38,4,967,687,front_damage
000053.jpg,1000,667,tire_damage,374,136,767,642,tire_damage
000055.jpg,1000,658,tire_damage,308,1,875,544,tire_damage
000056.jpg,1000,658,tire_damage,256,1,890,462,tire_damage
000061.jpg,1000,750,glass_shatter,49,31,784,720,glass_shatter
000062.jpg,1000,667,tail_lamp,467,217,701,394,tail_lamp
000062.jpg,1000,667,bumper_dent,416,317,1000,625,bumper_dent
000063.jpg,1000,668,head_lamp,66,54,947,384,head_lamp
000064.jpg,1000,667,door_scratch,338,181,755,517,door_scratch
000065.jpg,1000,667,door_scratch,255,55,982,624,door_scratch
000066.jpg,1000,667,bumper_dent,109,10,951,660,bumper_dent
000067.jpg,750,1000,door_scratch,163,184,585,713,door_scratch
000068.jpg,1000,667,glass_shatter,6,16,1000,610,glass_shatter
000069.jpg,1000,859,tail_lamp,31,26,799,735,tail_lamp
000070.jpg,1000,668,bumper_scratch,265,252,607,609,bumper_scratch
000071.jpg,1000,667,front_damage,1,2,1000,667,front_damage
000072.jpg,1000,667,front_damage,64,134,763,530,front_damage
000073.jpg,1000,697,bumper_scratch,58,37,921,637,bumper_scratch
000074.jpg,750,1000,tail_lamp,3,9,749,516,tail_lamp
000074.jpg,750,1000,bumper_dent,6,459,750,992,bumper_dent
000075.jpg,1000,667,door_dent,131,40,719,667,door_dent
000076.jpg,1000,667,door_dent,3,78,648,667,door_dent
000077.jpg,1000,667,tail_lamp,1,95,819,543,tail_lamp
000078.jpg,667,1000,tail_lamp,67,145,432,846,tail_lamp
000079.jpg,1000,667,bumper_dent,181,129,1000,667,bumper_dent
000081.jpg,1000,667,bumper_dent,194,95,969,597,bumper_dent
000085.jpg,1000,667,bumper_dent,599,214,850,496,bumper_dent
000087.jpg,667,1000,bumper_dent,251,409,656,1000,bumper_dent
000092.jpg,1000,563,side_damage,177,119,779,477,side_damage
000093.jpg,1000,667,tire_damage,222,138,774,610,tire_damage
000094.jpg,1000,750,head_lamp,177,272,464,494,head_lamp
000095.jpg,1000,750,bumper_dent,373,92,669,530,bumper_dent
000096.jpg,1000,750,bumper_dent,221,142,999,678,bumper_dent
000098.jpg,1000,750,bumper_dent,423,346,833,713,bumper_dent
000099.jpg,1000,667,tail_lamp,556,14,853,605,tail_lamp
000100.jpg,1000,750,head_lamp,295,1,759,252,head_lamp
000100.jpg,1000,750,bumper_scratch,326,248,745,620,bumper_scratch
000101.jpg,1000,750,front_damage,241,14,1000,750,front_damage
000104.jpg,1000,750,tire_damage,375,159,828,715,tire_damage
000108.jpg,1000,667,bumper_dent,108,220,310,484,bumper_dent
000111.jpg,1000,667,door_scratch,468,239,775,596,door_scratch
000112.jpg,750,1000,door_dent,49,174,750,807,door_dent
000113.jpg,1000,667,door_scratch,100,141,578,667,door_scratch
000114.jpg,1000,683,bumper_scratch,3,16,873,446,bumper_scratch
000115.jpg,1000,657,door_scratch,236,56,666,657,door_scratch
000116.jpg,1000,667,door_dent,3,1,1000,367,door_dent
000117.jpg,1000,667,door_dent,120,4,1000,667,door_dent
000118.jpg,1000,664,tire_damage,188,102,635,658,tire_damage
000119.jpg,1000,689,tire_damage,331,125,827,644,tire_damage
000120.jpg,1000,667,door_scratch,593,2,911,351,door_scratch
000121.jpg,750,1000,door_scratch,2,27,657,871,door_scratch
000122.jpg,750,1000,door_scratch,76,404,608,883,door_scratch
000123.jpg,1000,667,tire_damage,242,20,951,667,tire_damage
000124.jpg,1000,891,tire_damage,45,78,967,891,tire_damage
000125.jpg,1000,667,tire_damage,244,85,825,644,tire_damage
000126.jpg,1000,667,tire_damage,295,108,798,560,tire_damage
000126.jpg,1000,667,bumper_dent,4,76,269,484,bumper_dent
000127.jpg,1000,667,front_damage,311,75,1000,667,front_damage
000129.jpg,1000,667,front_damage,253,44,1000,634,front_damage
000131.jpg,1000,664,door_scratch,6,2,1000,664,door_scratch
000132.jpg,1000,664,door_scratch,63,25,862,582,door_scratch
000133.jpg,1000,537,door_dent,4,3,1000,537,door_dent
000134.jpg,1000,750,front_damage,334,156,1000,718,front_damage
000135.jpg,1000,562,door_scratch,36,72,678,559,door_scratch
